Date,Department,Expense Type,Project,Amount (USD),Quantity,Vendor
2024-09-11,Finance,Salaries,Project C,4432,13.0,
2024-03-15,Finance,Salaries,Project B,8917,14.0,
2024-03-11,Exploration,Maintenance,Project B,6706,9.0,VendorY
2024-08-20,Finance,Utilities,Project C,1319,,VendorX
2024-05-13,Finance,Salaries,Project B,7514,,
2024-12-22,Finance,Salaries,Project C,6199,13.0,VendorY
2024-02-12,Exploration,Equipment,Project B,4806,,
2024-12-05,Finance,Utilities,Project A,2734,,VendorY
2024-03-17,Exploration,Maintenance,Project A,5251,20.0,VendorZ
2024-08-09,Finance,Salaries,Project C,3704,,VendorY
2024-08-19,Finance,Salaries,Project C,9022,18.0,VendorZ
2024-10-05,Operations,Utilities,Project C,7428,20.0,VendorY
2024-05-24,Exploration,Equipment,Project C,9847,,VendorY
2024-06-28,Finance,Maintenance,Project B,9734,,VendorZ
2024-04-26,Finance,Utilities,Project A,8660,4.0,VendorZ
2024-11-22,Finance,Salaries,Project B,8300,4.0,
2024-01-17,Finance,Salaries,Project A,9334,,VendorX
2024-10-07,Exploration,Utilities,Project C,9756,,VendorY
2024-03-01,Finance,Salaries,Project C,4066,,
2024-11-25,Exploration,Salaries,Project A,7169,,VendorZ
2024-01-02,Exploration,Salaries,Project C,7618,13.0,
2024-01-23,Exploration,Maintenance,Project C,7913,14.0,VendorY
2024-05-16,Operations,Equipment,Project B,9014,5.0,
2024-03-08,Operations,Equipment,Project C,9508,,VendorX
2024-06-02,Exploration,Utilities,Project B,4681,14.0,
2024-10-11,Operations,Salaries,Project B,8651,4.0,
2024-10-29,Operations,Salaries,Project B,5118,,VendorY
2024-08-08,Finance,Utilities,Project C,5871,13.0,
2024-12-27,Exploration,Utilities,Project B,7699,5.0,
2024-06-28,Operations,Maintenance,Project C,2589,,VendorX
2024-09-04,Operations,Utilities,Project B,9502,,
2024-03-11,Operations,Equipment,Project B,2049,10.0,
2024-01-10,Finance,Equipment,Project A,2328,19.0,
2024-04-09,Operations,Utilities,Project B,8506,,VendorY
2024-07-06,Operations,Utilities,Project B,1484,17.0,VendorX
2024-02-06,Exploration,Salaries,Project B,8606,13.0,
2024-03-12,Operations,Utilities,Project A,4933,18.0,VendorZ
2024-02-17,Exploration,Maintenance,Project C,7992,,VendorY
2024-11-27,Finance,Equipment,Project B,5667,15.0,
2024-10-07,Finance,Equipment,Project B,3128,,VendorX
2024-01-29,Finance,Equipment,Project B,7920,12.0,VendorZ
2024-01-18,Finance,Utilities,Project B,2546,18.0,
2024-07-30,Finance,Equipment,Project A,7077,18.0,
2024-12-03,Operations,Equipment,Project B,3276,,VendorZ
2024-01-20,Finance,Maintenance,Project B,7870,17.0,
2024-02-03,Exploration,Salaries,Project B,5717,,VendorX
2024-02-13,Finance,Equipment,Project C,1523,,
2024-07-19,Operations,Equipment,Project C,8102,15.0,
2024-10-18,Finance,Maintenance,Project A,3972,,VendorY
2024-05-08,Exploration,Equipment,Project B,1902,16.0,
2024-10-25,Exploration,Equipment,Project B,4528,,
2024-12-08,Finance,Maintenance,Project A,3024,,
2024-07-04,Operations,Equipment,Project A,5585,15.0,
2024-02-17,Finance,Equipment,Project C,3784,7.0,VendorY
2024-04-20,Exploration,Maintenance,Project B,6140,16.0,VendorY
2024-03-30,Exploration,Maintenance,Project B,6912,,
2024-02-02,Finance,Utilities,Project B,6392,14.0,
2024-11-24,Finance,Utilities,Project A,7602,,VendorX
2024-05-19,Finance,Utilities,Project C,1315,,
2024-06-02,Operations,Equipment,Project C,3797,,
2024-09-11,Operations,Maintenance,Project A,5101,,
2024-12-23,Operations,Utilities,Project C,3454,5.0,
2024-11-19,Exploration,Utilities,Project B,9599,,
2024-04-23,Exploration,Maintenance,Project B,8128,13.0,
2024-02-29,Operations,Maintenance,Project B,2118,13.0,VendorX
2024-04-16,Finance,Utilities,Project A,9038,,VendorY
2024-12-06,Operations,Equipment,Project C,9465,18.0,
2024-12-25,Finance,Salaries,Project C,6743,,
2024-12-05,Exploration,Salaries,Project A,1007,7.0,
2024-09-22,Exploration,Equipment,Project A,7477,,
2024-02-26,Operations,Maintenance,Project C,6644,1.0,
2024-03-29,Exploration,Salaries,Project A,7213,,VendorX
2024-06-18,Operations,Utilities,Project B,6425,8.0,VendorZ
2024-10-04,Exploration,Salaries,Project C,4252,,
2024-09-23,Finance,Salaries,Project C,8141,3.0,VendorY
2024-12-24,Operations,Equipment,Project B,1908,8.0,VendorZ
2024-12-21,Exploration,Equipment,Project C,6231,4.0,VendorZ
2024-05-28,Finance,Maintenance,Project B,2223,16.0,
2024-09-11,Exploration,Salaries,Project A,8090,,VendorX
2024-10-29,Exploration,Maintenance,Project B,4345,,
2024-05-07,Exploration,Utilities,Project C,4371,6.0,VendorX
2024-10-10,Exploration,Equipment,Project A,4892,13.0,VendorY
2024-02-21,Operations,Equipment,Project A,4861,10.0,
2024-04-26,Exploration,Utilities,Project B,9064,7.0,
2024-06-22,Operations,Utilities,Project B,9288,8.0,
2024-04-12,Operations,Salaries,Project A,6656,18.0,VendorX
2024-11-12,Finance,Salaries,Project B,6801,,
2024-11-28,Finance,Maintenance,Project C,8966,,
2024-07-29,Finance,Salaries,Project C,2905,,
2024-03-27,Finance,Salaries,Project B,2126,11.0,VendorX
2024-08-17,Exploration,Salaries,Project B,3355,,VendorZ
2024-10-26,Finance,Utilities,Project B,1754,,VendorX
2024-08-08,Operations,Salaries,Project B,6708,,
2024-12-29,Exploration,Salaries,Project C,9605,,VendorZ
2024-02-12,Operations,Maintenance,Project B,4087,,
2024-04-01,Finance,Equipment,Project B,5227,6.0,VendorX
2024-07-30,Operations,Equipment,Project A,6511,2.0,
2024-07-25,Finance,Equipment,Project A,2616,,VendorX
2024-06-04,Finance,Maintenance,Project C,2702,,
2024-12-07,Operations,Maintenance,Project B,2807,3.0,VendorY
2024-05-29,Finance,Utilities,Project A,3987,4.0,
2024-08-20,Exploration,Equipment,Project A,5675,4.0,VendorZ
2024-12-13,Exploration,Maintenance,Project A,4350,,VendorX
2024-05-26,Exploration,Maintenance,Project B,1605,13.0,
2024-07-23,Finance,Maintenance,Project C,5643,,
2024-09-16,Finance,Maintenance,Project A,5553,5.0,VendorZ
2024-06-16,Exploration,Utilities,Project B,5991,,VendorX
2024-11-30,Finance,Equipment,Project B,5801,,VendorZ
2024-11-30,Exploration,Salaries,Project B,4523,18.0,VendorZ
2024-08-28,Operations,Utilities,Project A,2018,,
2024-10-18,Exploration,Equipment,Project C,3392,3.0,VendorX
2024-07-22,Exploration,Utilities,Project A,5677,7.0,
2024-09-25,Exploration,Equipment,Project A,1795,5.0,
2024-09-14,Operations,Utilities,Project C,1266,,VendorX
2024-09-11,Finance,Equipment,Project C,4522,,VendorY
2024-02-28,Finance,Equipment,Project A,9560,,
2024-06-02,Finance,Utilities,Project C,6988,13.0,VendorX
2024-04-18,Operations,Salaries,Project B,6969,,
2024-07-26,Exploration,Equipment,Project C,7030,16.0,VendorZ
2024-03-03,Finance,Maintenance,Project B,8102,,VendorY
2024-12-31,Exploration,Equipment,Project C,5433,17.0,
2024-09-06,Exploration,Maintenance,Project A,4233,18.0,VendorZ
2024-08-30,Finance,Utilities,Project B,8606,3.0,
2024-05-04,Exploration,Salaries,Project A,1590,,VendorX
2024-02-08,Operations,Equipment,Project C,6659,8.0,
2024-05-01,Operations,Maintenance,Project B,1860,4.0,
2024-01-11,Operations,Maintenance,Project B,9634,,VendorZ
2024-04-29,Exploration,Maintenance,Project A,4413,10.0,
2024-11-26,Operations,Maintenance,Project A,3575,7.0,
2024-11-24,Finance,Salaries,Project B,2311,6.0,
2024-01-15,Operations,Maintenance,Project C,2579,17.0,VendorX
2024-08-02,Finance,Equipment,Project A,3439,,
2024-01-02,Exploration,Equipment,Project B,9896,1.0,
2024-01-26,Finance,Salaries,Project B,9491,,VendorZ
2024-09-05,Exploration,Maintenance,Project B,5008,6.0,VendorY
2024-03-26,Finance,Salaries,Project A,7540,5.0,
2024-06-24,Operations,Utilities,Project C,6896,4.0,
2024-12-13,Operations,Equipment,Project B,4492,18.0,
2024-03-21,Exploration,Maintenance,Project C,6735,7.0,
2024-09-07,Operations,Salaries,Project A,6901,,
2024-09-07,Exploration,Maintenance,Project B,4511,,
2024-01-18,Exploration,Utilities,Project C,4574,,
2024-11-18,Exploration,Utilities,Project A,4453,,VendorY
2024-01-07,Operations,Maintenance,Project B,9508,,
2024-03-19,Operations,Equipment,Project C,2497,3.0,
2024-10-12,Exploration,Salaries,Project C,8604,,VendorY
2024-09-21,Exploration,Utilities,Project B,6466,6.0,
2024-01-19,Exploration,Equipment,Project C,4259,11.0,VendorY
2024-10-09,Finance,Maintenance,Project C,9359,,VendorZ
2024-02-21,Operations,Equipment,Project A,3256,17.0,
2024-03-06,Operations,Salaries,Project C,6419,6.0,VendorX
2024-05-14,Finance,Salaries,Project B,5194,,VendorX
2024-03-06,Exploration,Equipment,Project B,1070,,VendorY
2024-03-27,Exploration,Maintenance,Project C,9743,,
2024-08-01,Finance,Utilities,Project A,2598,,VendorY
2024-09-03,Finance,Salaries,Project B,4095,5.0,VendorX
2024-11-04,Exploration,Utilities,Project B,7661,14.0,VendorY
2024-08-04,Operations,Maintenance,Project A,2189,,
2024-11-26,Operations,Maintenance,Project B,8249,16.0,
2024-09-21,Operations,Salaries,Project A,2952,,VendorY
2024-02-02,Operations,Utilities,Project C,4640,1.0,
2024-08-22,Finance,Utilities,Project B,6674,,VendorY
2024-04-27,Finance,Maintenance,Project A,7915,,
2024-06-01,Exploration,Salaries,Project C,4119,,
2024-04-27,Exploration,Salaries,Project B,8669,16.0,VendorZ
2024-01-10,Operations,Utilities,Project B,1131,,
2024-08-12,Exploration,Equipment,Project C,7534,14.0,VendorY
2024-03-17,Exploration,Utilities,Project C,4874,,VendorZ
2024-12-24,Exploration,Salaries,Project C,5088,,VendorY
2024-05-12,Finance,Utilities,Project A,8657,16.0,
2024-02-24,Exploration,Maintenance,Project A,9621,,
2024-04-11,Exploration,Utilities,Project A,7028,,
2024-11-06,Exploration,Utilities,Project A,5835,4.0,VendorZ
2024-11-25,Operations,Salaries,Project B,1464,,
2024-01-30,Exploration,Maintenance,Project C,1631,7.0,VendorZ
2024-09-26,Finance,Maintenance,Project A,8957,17.0,VendorZ
2024-10-27,Finance,Equipment,Project C,3374,13.0,
2024-08-26,Finance,Maintenance,Project C,8191,,VendorY
2024-09-17,Finance,Maintenance,Project B,2716,9.0,VendorX
2024-12-03,Finance,Utilities,Project C,2585,5.0,
2024-09-19,Operations,Equipment,Project B,3461,6.0,VendorZ
2024-11-22,Finance,Equipment,Project C,6250,,
2024-04-14,Finance,Maintenance,Project B,7195,13.0,VendorZ
2024-10-13,Operations,Utilities,Project B,8017,12.0,VendorY
2024-10-27,Finance,Maintenance,Project C,4213,1.0,VendorX
2024-10-22,Exploration,Salaries,Project B,8556,,VendorY
2024-09-17,Operations,Utilities,Project A,1854,,
2024-10-03,Operations,Equipment,Project B,2687,19.0,
2024-12-02,Exploration,Utilities,Project B,1627,,
2024-03-08,Operations,Maintenance,Project B,1024,,VendorZ
2024-08-04,Finance,Maintenance,Project B,9306,,VendorZ
2024-10-15,Finance,Utilities,Project C,9665,,VendorZ
2024-08-07,Finance,Equipment,Project C,6249,1.0,
2024-12-01,Finance,Equipment,Project A,2871,7.0,
2024-04-12,Finance,Utilities,Project B,5393,8.0,
2024-11-07,Operations,Equipment,Project C,7728,6.0,
2024-12-29,Operations,Equipment,Project C,2049,9.0,VendorY
2024-09-03,Operations,Maintenance,Project C,9830,,VendorX
2024-02-05,Finance,Utilities,Project A,5200,7.0,VendorX
2024-02-09,Finance,Equipment,Project B,2986,13.0,
2024-08-14,Exploration,Equipment,Project C,6615,1.0,VendorX
2024-02-06,Exploration,Maintenance,Project C,5642,,
2024-03-03,Exploration,Salaries,Project C,5334,2.0,VendorY
2024-02-28,Operations,Equipment,Project B,2013,7.0,
2024-11-09,Exploration,Salaries,Project C,4610,20.0,VendorX
2024-02-28,Operations,Utilities,Project A,2400,7.0,
2024-02-01,Exploration,Equipment,Project A,6843,19.0,
2024-05-14,Finance,Utilities,Project B,3130,6.0,
2024-12-02,Exploration,Equipment,Project C,8735,,
2024-04-05,Operations,Salaries,Project C,8234,,VendorY
2024-07-07,Operations,Maintenance,Project C,8824,15.0,
2024-12-11,Operations,Salaries,Project B,3032,9.0,
2024-10-03,Exploration,Salaries,Project A,5373,,VendorX
2024-05-25,Exploration,Salaries,Project C,6441,6.0,
2024-09-16,Exploration,Salaries,Project C,7719,13.0,
2024-08-17,Operations,Salaries,Project B,7760,20.0,VendorY
2024-10-11,Finance,Maintenance,Project B,7230,6.0,VendorX
2024-11-23,Operations,Maintenance,Project C,1944,13.0,
2024-09-14,Exploration,Salaries,Project C,7237,3.0,
2024-11-14,Operations,Maintenance,Project B,7646,,
2024-05-28,Operations,Salaries,Project B,2728,,VendorY
2024-05-02,Finance,Salaries,Project B,6320,14.0,VendorZ
2024-10-17,Finance,Maintenance,Project C,6863,,
2024-09-24,Finance,Equipment,Project C,6173,5.0,VendorZ
2024-04-15,Operations,Salaries,Project B,9292,,VendorX
2024-03-03,Exploration,Salaries,Project B,6931,,VendorX
2024-01-31,Exploration,Equipment,Project B,5792,,VendorX
2024-11-02,Operations,Equipment,Project B,9478,,
2024-02-15,Operations,Utilities,Project B,7337,,
2024-06-21,Exploration,Maintenance,Project C,9499,3.0,
2024-09-18,Exploration,Salaries,Project A,1633,18.0,
2024-05-10,Operations,Equipment,Project B,1507,13.0,VendorY
2024-10-14,Exploration,Salaries,Project B,6164,,VendorZ
2024-07-16,Finance,Equipment,Project A,3205,,
2024-11-24,Operations,Utilities,Project B,2686,2.0,
2024-07-13,Finance,Salaries,Project C,6373,,VendorX
2024-12-01,Exploration,Utilities,Project A,4603,16.0,VendorY
2024-01-27,Finance,Utilities,Project A,5397,,
2024-08-17,Exploration,Salaries,Project B,8145,2.0,VendorX
2024-02-09,Exploration,Maintenance,Project B,2488,,VendorY
2024-01-04,Finance,Equipment,Project B,7571,7.0,
2024-02-28,Exploration,Maintenance,Project A,5683,,VendorY
2024-11-30,Finance,Equipment,Project A,6212,,VendorZ
2024-06-28,Finance,Salaries,Project B,4201,15.0,VendorY
2024-05-11,Exploration,Utilities,Project B,1444,16.0,VendorZ
2024-08-25,Operations,Utilities,Project A,4012,,
2024-08-27,Operations,Salaries,Project C,5675,,VendorY
2024-09-04,Exploration,Salaries,Project B,2742,10.0,VendorY
2024-08-24,Finance,Utilities,Project A,5391,,
2024-12-28,Finance,Maintenance,Project C,2242,15.0,
2024-10-17,Operations,Maintenance,Project B,2439,,
2024-07-01,Finance,Utilities,Project C,8530,2.0,VendorY
2024-06-08,Exploration,Equipment,Project A,8821,,VendorZ
2024-06-27,Exploration,Salaries,Project C,6550,16.0,
2024-01-04,Exploration,Salaries,Project C,1571,15.0,
2024-10-15,Operations,Salaries,Project A,7267,,VendorZ
2024-05-31,Exploration,Equipment,Project A,7564,3.0,
2024-06-23,Finance,Utilities,Project B,6513,,
2024-01-29,Finance,Equipment,Project C,7368,,VendorZ
2024-01-10,Operations,Maintenance,Project A,1596,,VendorZ
2024-06-15,Exploration,Equipment,Project B,8345,,VendorX
2024-02-09,Exploration,Utilities,Project B,8560,,
2024-11-20,Exploration,Maintenance,Project B,7709,,
2024-11-24,Exploration,Equipment,Project B,9344,8.0,VendorZ
2024-06-16,Finance,Utilities,Project C,9871,,
2024-04-25,Finance,Salaries,Project C,2442,,VendorY
2024-09-22,Exploration,Utilities,Project B,2649,1.0,
2024-04-16,Finance,Salaries,Project A,1726,19.0,VendorY
2024-07-03,Operations,Maintenance,Project A,8374,2.0,
2024-01-29,Finance,Utilities,Project C,2375,,
2024-04-29,Exploration,Equipment,Project A,6235,10.0,
2024-02-06,Exploration,Maintenance,Project B,4762,15.0,VendorY
2024-09-17,Operations,Utilities,Project C,1854,12.0,
2024-12-21,Exploration,Maintenance,Project B,9300,,VendorZ
2024-11-03,Finance,Maintenance,Project B,8716,8.0,VendorZ
2024-11-26,Finance,Utilities,Project C,5135,15.0,VendorX
2024-11-02,Operations,Utilities,Project C,8473,,VendorZ
2024-11-22,Finance,Salaries,Project A,3427,,
2024-03-03,Operations,Equipment,Project A,1205,10.0,VendorY
2024-03-22,Finance,Maintenance,Project B,9025,,VendorY
2024-04-27,Exploration,Equipment,Project C,5568,,VendorX
2024-08-15,Finance,Salaries,Project C,3390,,VendorZ
2024-07-02,Finance,Salaries,Project A,2830,11.0,
2024-09-23,Exploration,Equipment,Project C,1781,1.0,
2024-12-21,Operations,Utilities,Project C,7740,1.0,VendorX
2024-09-14,Exploration,Maintenance,Project A,6656,9.0,
2024-08-08,Exploration,Utilities,Project A,1326,,
2024-09-24,Exploration,Utilities,Project B,9768,,VendorZ
2024-05-19,Finance,Maintenance,Project C,7882,,VendorY
2024-03-30,Exploration,Utilities,Project A,8119,10.0,
2024-06-05,Finance,Maintenance,Project A,4785,5.0,
2024-10-25,Operations,Equipment,Project A,7135,15.0,
2024-09-26,Operations,Equipment,Project C,2937,,VendorZ
2024-05-10,Finance,Equipment,Project C,5980,,
2024-12-05,Finance,Salaries,Project B,3344,,
2024-05-12,Exploration,Utilities,Project A,2812,,VendorX
2024-10-10,Operations,Salaries,Project B,9125,,VendorZ
2024-03-25,Operations,Equipment,Project B,4189,4.0,
2024-10-05,Exploration,Utilities,Project B,7483,18.0,VendorZ
2024-01-20,Exploration,Maintenance,Project A,5551,,
2024-03-30,Operations,Salaries,Project A,5920,17.0,
2024-10-21,Operations,Salaries,Project C,9479,13.0,VendorY
2024-07-30,Operations,Salaries,Project C,7269,6.0,VendorZ
2024-01-26,Exploration,Maintenance,Project C,5059,18.0,VendorX
2024-01-07,Operations,Utilities,Project B,8236,9.0,VendorY
2024-05-27,Exploration,Equipment,Project B,1676,20.0,
2024-09-04,Exploration,Maintenance,Project A,4064,12.0,VendorY
2024-07-22,Finance,Salaries,Project A,1315,2.0,VendorZ
2024-04-22,Operations,Equipment,Project B,7215,,VendorY
2024-03-25,Finance,Salaries,Project C,8880,,VendorX
2024-03-29,Finance,Maintenance,Project A,5731,,
2024-12-23,Operations,Utilities,Project C,1894,,VendorX
2024-05-24,Finance,Equipment,Project B,9355,,VendorZ
2024-05-28,Exploration,Equipment,Project B,5288,5.0,VendorZ
2024-09-16,Operations,Maintenance,Project B,3010,,VendorX
2024-08-22,Finance,Salaries,Project A,5780,13.0,
2024-07-11,Finance,Equipment,Project C,7213,,
2024-02-22,Operations,Utilities,Project A,1245,,
2024-08-20,Operations,Salaries,Project C,7400,,
2024-08-06,Finance,Salaries,Project A,8828,12.0,VendorY
2024-02-27,Exploration,Maintenance,Project A,1699,16.0,
2024-03-23,Operations,Equipment,Project A,9867,7.0,
2024-07-29,Finance,Equipment,Project A,6038,18.0,VendorY
2024-07-14,Finance,Equipment,Project B,2995,,
2024-09-12,Finance,Utilities,Project A,5827,,
