Transaction ID,Transaction Date,Department,Expense Type,Project,Vendor,Amount (USD),Quantity,Employee Name,Employee Department,Employee Position,Employee Salary (USD)
29,2022-04-18,Logistics,Maintenance,Project Alpha,Vendor B,2443,7,Employee 29,HR,Engineer,102865
30,2023-08-04,Finance,Maintenance,Project Gamma,Vendor A,6802,6,Employee 30,Exploration,Technician,60720
31,2022-01-02,Logistics,Maintenance,Project Beta,Vendor C,5596,8,Employee 31,Exploration,Engineer,107392
32,2024-07-18,Operations,Research,Project Alpha,Vendor B,1445,16,Employee 32,Exploration,Technician,106045
33,2021-08-01,HR,Equipment,Project Beta,Vendor A,6112,12,Employee 33,Exploration,Administrator,72300
34,2023-12-30,Operations,Research,Project Alpha,Vendor A,9573,4,Employee 34,Finance,Engineer,63779
35,2023-04-10,Finance,Salaries,Project Beta,Vendor B,2934,9,Employee 35,Finance,Manager,46606
36,2024-10-02,HR,Salaries,Project Beta,Vendor B,6887,17,Employee 36,Operations,Engineer,47302
37,2022-02-15,HR,Equipment,Project Beta,Vendor B,9784,14,Employee 37,Operations,Manager,105242
38,2024-12-31,HR,Utilities,Project Beta,Vendor B,3850,8,Employee 38,HR,Engineer,63123
39,2021-10-19,Finance,Research,Project Beta,Vendor B,2584,12,Employee 39,Logistics,Manager,113368
40,2022-04-21,Logistics,Research,Project Gamma,Vendor B,7998,12,Employee 40,Logistics,Technician,105481
41,2022-01-11,HR,Research,Project Gamma,Vendor C,3355,18,Employee 41,Logistics,Administrator,73863
42,2022-12-05,Finance,Salaries,Project Gamma,Vendor A,3170,9,Employee 42,Exploration,Technician,47484
43,2021-11-27,Operations,Equipment,Project Beta,Vendor A,548,5,Employee 43,HR,Technician,36647
44,2021-07-26,Logistics,Research,Project Alpha,Vendor A,5291,14,Employee 44,Finance,Technician,93244
45,2024-01-22,Finance,Maintenance,Project Alpha,Vendor C,898,11,Employee 45,Finance,Administrator,35398
46,2022-06-13,Logistics,Research,Project Gamma,Vendor B,6480,1,Employee 46,Exploration,Manager,107499
47,2022-03-31,Finance,Research,Project Beta,Vendor B,2807,17,Employee 47,Operations,Manager,110623
48,2023-11-06,Finance,Equipment,Project Gamma,Vendor B,5265,10,Employee 48,HR,Technician,109027
49,2021-08-31,Operations,Utilities,Project Beta,Vendor C,7358,2,Employee 49,Operations,Administrator,118315
50,2021-01-29,HR,Maintenance,Project Beta,Vendor B,7290,19,Employee 50,Finance,Administrator,105762
51,2023-09-20,Operations,Research,Project Gamma,Vendor B,5975,6,Employee 51,Exploration,Engineer,54705
52,2023-05-18,Logistics,Research,Project Beta,Vendor C,5850,7,Employee 52,Operations,Administrator,84756
53,2021-09-17,Operations,Equipment,Project Beta,Vendor B,6411,11,Employee 53,Finance,Manager,106832
54,2021-05-08,HR,Research,Project Gamma,Vendor A,1420,11,Employee 54,Finance,Administrator,56592
55,2024-05-29,Finance,Equipment,Project Beta,Vendor B,4455,6,Employee 55,Finance,Administrator,95671
56,2023-01-04,HR,Utilities,Project Gamma,Vendor C,5629,14,Employee 56,HR,Engineer,89766
57,2024-08-05,Exploration,Maintenance,Project Beta,Vendor A,5101,5,Employee 57,Finance,Administrator,90531
58,2021-06-02,Finance,Maintenance,Project Gamma,Vendor C,5130,4,Employee 58,Operations,Engineer,43066
59,2022-02-07,Operations,Research,Project Gamma,Vendor C,9276,12,Employee 59,Exploration,Administrator,112893
60,2024-12-23,Exploration,Utilities,Project Alpha,Vendor A,3504,1,Employee 60,Exploration,Administrator,96657
61,2022-07-25,Operations,Maintenance,Project Beta,Vendor B,9670,8,Employee 61,Logistics,Manager,66358
62,2021-05-27,Operations,Utilities,Project Alpha,Vendor B,9489,2,Employee 62,Finance,Administrator,116755
63,2022-06-22,Finance,Maintenance,Project Beta,Vendor C,2379,8,Employee 63,Operations,Administrator,43281
64,2023-02-16,Finance,Utilities,Project Beta,Vendor B,2721,5,Employee 64,Operations,Engineer,37988
65,2021-05-05,Logistics,Equipment,Project Alpha,Vendor B,3530,14,Employee 65,Exploration,Administrator,61323
66,2021-11-29,Logistics,Utilities,Project Beta,Vendor A,9245,4,Employee 66,HR,Manager,79784
67,2022-03-08,HR,Maintenance,Project Alpha,Vendor A,3709,10,Employee 67,HR,Engineer,51102
68,2022-01-02,Logistics,Utilities,Project Gamma,Vendor A,5048,12,Employee 68,Logistics,Administrator,98384
69,2021-01-23,Operations,Equipment,Project Alpha,Vendor B,7830,2,Employee 69,Finance,Manager,53970
70,2024-06-22,Exploration,Salaries,Project Gamma,Vendor C,2094,1,Employee 70,Exploration,Administrator,106669
71,2023-07-03,Logistics,Research,Project Beta,Vendor A,5810,14,Employee 71,Operations,Engineer,115980
72,2024-11-23,Exploration,Maintenance,Project Alpha,Vendor B,2267,18,Employee 72,Operations,Technician,86589
73,2021-02-25,Operations,Salaries,Project Gamma,Vendor B,6106,6,Employee 73,Finance,Manager,50244
74,2022-06-16,Logistics,Research,Project Beta,Vendor B,5687,12,Employee 74,HR,Technician,46528
75,2021-04-11,Logistics,Equipment,Project Beta,Vendor A,602,18,Employee 75,Operations,Engineer,52364
76,2021-09-17,Operations,Maintenance,Project Gamma,Vendor B,3736,5,Employee 76,Finance,Manager,70144
77,2023-03-13,HR,Utilities,Project Gamma,Vendor A,2111,18,Employee 77,Finance,Administrator,89210
78,2022-06-18,Exploration,Utilities,Project Alpha,Vendor B,8227,13,Employee 78,Operations,Manager,60348
79,2023-10-19,Finance,Maintenance,Project Beta,Vendor A,5460,8,Employee 79,Exploration,Administrator,93139
80,2023-12-30,HR,Utilities,Project Gamma,Vendor B,253,8,Employee 80,HR,Engineer,35304
81,2021-08-20,Exploration,Utilities,Project Beta,Vendor A,4830,5,Employee 81,Operations,Engineer,69534
82,2022-04-03,HR,Salaries,Project Gamma,Vendor B,6460,15,Employee 82,Logistics,Administrator,46541
83,2021-05-10,Finance,Salaries,Project Alpha,Vendor C,8630,4,Employee 83,Exploration,Technician,46150
84,2023-05-24,Finance,Salaries,Project Alpha,Vendor C,5775,14,Employee 84,Logistics,Technician,78316
85,2022-02-07,Finance,Utilities,Project Alpha,Vendor A,5200,20,Employee 85,Exploration,Technician,71634
86,2022-04-17,Operations,Maintenance,Project Alpha,Vendor A,3341,7,Employee 86,Finance,Technician,100528
87,2022-05-18,Finance,Equipment,Project Alpha,Vendor A,1107,13,Employee 87,Finance,Manager,83221
88,2022-12-23,Operations,Research,Project Beta,Vendor A,823,2,Employee 88,Operations,Administrator,67067
89,2021-10-30,Exploration,Salaries,Project Gamma,Vendor C,1368,17,Employee 89,HR,Administrator,96163
90,2024-05-14,Logistics,Salaries,Project Gamma,Vendor B,5537,15,Employee 90,Operations,Engineer,88496
91,2023-09-08,Finance,Maintenance,Project Beta,Vendor C,4231,1,Employee 91,Logistics,Manager,62838
92,2022-11-30,Operations,Maintenance,Project Gamma,Vendor C,5654,7,Employee 92,Logistics,Engineer,39452
93,2023-11-05,Finance,Research,Project Beta,Vendor A,2108,2,Employee 93,Logistics,Engineer,39375
94,2022-09-08,Finance,Salaries,Project Alpha,Vendor A,6164,17,Employee 94,Operations,Technician,107499
95,2024-08-20,Logistics,Utilities,Project Alpha,Vendor C,9413,12,Employee 95,HR,Manager,90461
96,2023-01-18,Exploration,Research,Project Gamma,Vendor B,7090,19,Employee 96,Exploration,Manager,106936
97,2022-03-28,HR,Utilities,Project Beta,Vendor C,3424,8,Employee 97,Finance,Administrator,38403
98,2024-11-20,Logistics,Equipment,Project Gamma,Vendor A,1075,8,Employee 98,Operations,Technician,66761
99,2024-02-20,Logistics,Utilities,Project Alpha,Vendor A,5351,6,Employee 99,HR,Technician,71780
100,2021-06-04,Logistics,Equipment,Project Gamma,Vendor C,5035,15,Employee 100,Exploration,Technician,82808
101,2022-10-01,HR,Utilities,Project Beta,Vendor A,1479,8,Employee 101,Exploration,Technician,64453
102,2023-05-19,Exploration,Research,Project Gamma,Vendor C,2002,11,Employee 102,HR,Administrator,109844
103,2022-08-22,HR,Salaries,Project Alpha,Vendor B,9325,2,Employee 103,Exploration,Technician,83066
104,2021-04-03,Operations,Maintenance,Project Alpha,Vendor C,8862,5,Employee 104,Exploration,Administrator,59982
105,2024-10-11,Exploration,Research,Project Beta,Vendor B,1903,12,Employee 105,HR,Technician,94438
106,2022-10-17,HR,Research,Project Alpha,Vendor C,904,18,Employee 106,Logistics,Manager,62607
107,2021-09-09,Finance,Maintenance,Project Gamma,Vendor A,1169,19,Employee 107,Exploration,Administrator,70435
108,2022-09-14,Logistics,Salaries,Project Gamma,Vendor B,9000,3,Employee 108,HR,Engineer,47548
109,2022-06-24,Logistics,Equipment,Project Beta,Vendor B,4515,10,Employee 109,Finance,Engineer,75980
110,2024-07-07,Exploration,Maintenance,Project Beta,Vendor A,5047,2,Employee 110,Operations,Administrator,74998
111,2024-12-28,Logistics,Salaries,Project Alpha,Vendor A,3314,9,Employee 111,Operations,Administrator,32452
112,2021-04-13,HR,Utilities,Project Beta,Vendor A,1991,10,Employee 112,Finance,Administrator,114663
113,2022-01-09,Operations,Maintenance,Project Beta,Vendor B,3418,1,Employee 113,Finance,Administrator,108535
114,2023-09-08,Finance,Utilities,Project Beta,Vendor C,4143,17,Employee 114,HR,Manager,86041
115,2023-07-17,Logistics,Maintenance,Project Beta,Vendor B,2692,16,Employee 115,HR,Administrator,65666
116,2024-07-28,HR,Maintenance,Project Alpha,Vendor A,2011,12,Employee 116,Finance,Technician,61789
117,2022-01-08,Logistics,Research,Project Beta,Vendor C,3507,15,Employee 117,Finance,Engineer,108454
118,2024-06-25,Finance,Maintenance,Project Beta,Vendor A,5121,5,Employee 118,Finance,Manager,47740
119,2024-09-13,HR,Salaries,Project Beta,Vendor A,8826,10,Employee 119,Logistics,Manager,93329
120,2023-11-29,HR,Maintenance,Project Alpha,Vendor C,8055,5,Employee 120,Logistics,Administrator,70386
121,2024-12-15,HR,Equipment,Project Beta,Vendor A,547,13,Employee 121,Operations,Engineer,74736
122,2022-08-23,HR,Salaries,Project Gamma,Vendor B,3870,1,Employee 122,Exploration,Administrator,41633
123,2021-08-05,Exploration,Salaries,Project Gamma,Vendor A,2796,11,Employee 123,Finance,Manager,44609
124,2022-07-28,HR,Salaries,Project Beta,Vendor A,2784,4,Employee 124,Logistics,Technician,95245
125,2024-08-05,HR,Salaries,Project Gamma,Vendor C,748,8,Employee 125,Logistics,Administrator,107042
126,2021-10-18,Operations,Utilities,Project Gamma,Vendor C,9747,16,Employee 126,Finance,Technician,38023
127,2022-07-25,Operations,Utilities,Project Alpha,Vendor C,8783,16,Employee 127,HR,Administrator,34082
128,2023-06-01,Logistics,Utilities,Project Gamma,Vendor B,7424,6,Employee 128,Logistics,Engineer,37551
129,2024-07-29,Finance,Utilities,Project Beta,Vendor B,684,4,Employee 129,Finance,Engineer,104700
130,2024-11-02,Finance,Research,Project Alpha,Vendor B,9367,5,Employee 130,Exploration,Administrator,105022
131,2024-12-27,Operations,Utilities,Project Gamma,Vendor B,8631,2,Employee 131,Finance,Technician,76952
132,2021-10-26,Finance,Equipment,Project Alpha,Vendor B,6024,14,Employee 132,Logistics,Technician,72234
133,2021-11-11,Logistics,Research,Project Gamma,Vendor A,7480,19,Employee 133,HR,Manager,91398
134,2022-05-02,Finance,Salaries,Project Beta,Vendor A,2109,12,Employee 134,HR,Manager,49704
135,2023-10-01,HR,Equipment,Project Beta,Vendor B,1734,12,Employee 135,Logistics,Manager,79756
136,2021-01-28,Operations,Utilities,Project Beta,Vendor C,2183,17,Employee 136,Finance,Manager,119966
137,2021-08-25,HR,Equipment,Project Alpha,Vendor B,6401,12,Employee 137,HR,Technician,70668
138,2023-11-08,Operations,Research,Project Alpha,Vendor A,8523,6,Employee 138,Finance,Technician,106754
139,2024-03-01,Logistics,Equipment,Project Alpha,Vendor C,6888,9,Employee 139,Logistics,Manager,67353
140,2024-09-11,Operations,Utilities,Project Gamma,Vendor B,4580,9,Employee 140,Logistics,Technician,93310
141,2024-05-11,Operations,Utilities,Project Beta,Vendor B,9692,4,Employee 141,Finance,Manager,113061
142,2022-10-19,Finance,Salaries,Project Beta,Vendor B,1308,3,Employee 142,Operations,Manager,64138
143,2021-07-09,Exploration,Utilities,Project Alpha,Vendor B,8628,3,Employee 143,Operations,Manager,72006
144,2023-05-12,Finance,Equipment,Project Gamma,Vendor B,4518,8,Employee 144,Finance,Technician,102226
145,2023-10-08,Operations,Research,Project Alpha,Vendor C,7667,5,Employee 145,Operations,Engineer,60231
146,2021-05-05,Exploration,Equipment,Project Alpha,Vendor C,8409,9,Employee 146,Exploration,Engineer,70193
147,2022-09-04,Operations,Maintenance,Project Alpha,Vendor A,1517,4,Employee 147,Operations,Engineer,74350
148,2022-11-03,Operations,Salaries,Project Gamma,Vendor A,8201,11,Employee 148,Operations,Engineer,54483
149,2021-06-19,Operations,Maintenance,Project Beta,Vendor B,6526,9,Employee 149,Logistics,Administrator,115372
150,2021-09-01,Operations,Utilities,Project Alpha,Vendor A,1126,2,Employee 150,Exploration,Engineer,36006
151,2021-08-23,Logistics,Equipment,Project Alpha,Vendor C,3396,14,Employee 151,Finance,Technician,74090
152,2024-11-17,Finance,Equipment,Project Gamma,Vendor C,5136,2,Employee 152,Operations,Technician,30865
153,2024-12-10,Exploration,Maintenance,Project Beta,Vendor A,3131,10,Employee 153,Logistics,Manager,74235
154,2024-07-18,HR,Salaries,Project Beta,Vendor B,2121,18,Employee 154,HR,Engineer,85196
155,2021-01-31,Exploration,Utilities,Project Gamma,Vendor C,4822,2,Employee 155,Exploration,Technician,53338
156,2024-12-22,Exploration,Utilities,Project Gamma,Vendor A,1181,14,Employee 156,Operations,Administrator,52760
157,2023-05-13,Logistics,Salaries,Project Beta,Vendor B,1087,8,Employee 157,Operations,Administrator,80152
158,2023-03-05,Logistics,Maintenance,Project Alpha,Vendor A,139,8,Employee 158,Finance,Engineer,43491
159,2024-04-12,Exploration,Utilities,Project Beta,Vendor C,5948,13,Employee 159,Finance,Administrator,114721
160,2024-03-17,Exploration,Equipment,Project Beta,Vendor C,7606,20,Employee 160,Exploration,Administrator,74596
161,2022-10-01,Finance,Equipment,Project Gamma,Vendor B,1576,15,Employee 161,HR,Manager,65495
162,2022-07-30,HR,Salaries,Project Alpha,Vendor A,5147,18,Employee 162,HR,Administrator,81111
163,2024-06-30,Operations,Equipment,Project Alpha,Vendor A,9460,8,Employee 163,Operations,Manager,72363
164,2024-07-03,HR,Maintenance,Project Alpha,Vendor A,4494,13,Employee 164,Operations,Engineer,103809
165,2024-12-21,Logistics,Salaries,Project Alpha,Vendor B,746,10,Employee 165,Logistics,Technician,45203
166,2021-11-22,Exploration,Salaries,Project Beta,Vendor A,6612,2,Employee 166,Operations,Administrator,61340
167,2021-09-26,Operations,Utilities,Project Alpha,Vendor A,4912,13,Employee 167,Operations,Manager,67846
168,2022-12-15,Exploration,Equipment,Project Alpha,Vendor B,9477,14,Employee 168,Operations,Technician,51052
169,2024-01-19,Operations,Maintenance,Project Gamma,Vendor B,5983,3,Employee 169,HR,Manager,67559
170,2022-03-25,HR,Utilities,Project Gamma,Vendor B,1473,14,Employee 170,HR,Manager,96405
171,2023-05-22,Operations,Utilities,Project Alpha,Vendor A,4781,18,Employee 171,HR,Manager,96069
172,2023-06-26,Finance,Salaries,Project Beta,Vendor B,9323,3,Employee 172,Operations,Manager,75823
173,2024-03-08,HR,Maintenance,Project Gamma,Vendor C,5964,13,Employee 173,Finance,Administrator,65946
174,2022-07-15,Operations,Research,Project Beta,Vendor B,9889,6,Employee 174,Exploration,Engineer,35741
175,2022-12-04,HR,Research,Project Alpha,Vendor B,7066,11,Employee 175,HR,Engineer,107059
176,2021-01-01,Finance,Equipment,Project Gamma,Vendor A,1096,7,Employee 176,Exploration,Engineer,99188
177,2024-01-27,Logistics,Equipment,Project Beta,Vendor A,7104,16,Employee 177,Exploration,Engineer,85539
178,2021-06-16,Operations,Salaries,Project Alpha,Vendor C,384,13,Employee 178,HR,Manager,94972
179,2023-08-03,Exploration,Utilities,Project Gamma,Vendor B,1662,18,Employee 179,Logistics,Engineer,31276
180,2022-09-28,Operations,Research,Project Gamma,Vendor C,402,14,Employee 180,Operations,Administrator,113992
181,2024-03-04,Exploration,Equipment,Project Beta,Vendor B,1914,14,Employee 181,Logistics,Engineer,102137
182,2023-02-26,Logistics,Maintenance,Project Beta,Vendor A,8166,19,Employee 182,Exploration,Manager,101062
183,2022-01-21,Operations,Maintenance,Project Gamma,Vendor A,8759,18,Employee 183,Operations,Engineer,85913
184,2022-03-05,HR,Maintenance,Project Alpha,Vendor C,6942,13,Employee 184,HR,Administrator,62088
185,2023-11-27,Exploration,Salaries,Project Gamma,Vendor C,6031,15,Employee 185,Finance,Engineer,78037
186,2024-03-17,HR,Utilities,Project Alpha,Vendor B,6384,1,Employee 186,Operations,Technician,85545
187,2022-05-05,HR,Research,Project Beta,Vendor C,7297,5,Employee 187,Operations,Engineer,108713
188,2021-07-21,Logistics,Equipment,Project Alpha,Vendor C,6005,15,Employee 188,Logistics,Technician,72947
189,2023-10-20,Operations,Utilities,Project Alpha,Vendor B,8681,8,Employee 189,HR,Administrator,96054
190,2023-08-24,Operations,Utilities,Project Beta,Vendor A,1803,9,Employee 190,Exploration,Administrator,60257
191,2021-02-02,Exploration,Salaries,Project Alpha,Vendor B,3663,11,Employee 191,HR,Manager,92036
192,2024-01-02,Logistics,Salaries,Project Alpha,Vendor A,1308,5,Employee 192,HR,Manager,52243
193,2021-02-26,Logistics,Equipment,Project Beta,Vendor C,7494,15,Employee 193,HR,Technician,70996
194,2023-08-27,Finance,Salaries,Project Beta,Vendor C,7416,7,Employee 194,Operations,Administrator,109036
195,2021-04-04,Operations,Salaries,Project Gamma,Vendor C,1824,12,Employee 195,Operations,Engineer,91475
196,2022-10-18,HR,Salaries,Project Beta,Vendor C,2857,10,Employee 196,Exploration,Engineer,117197
197,2024-12-01,Logistics,Utilities,Project Beta,Vendor C,184,2,Employee 197,Finance,Administrator,117943
198,2021-02-06,Operations,Maintenance,Project Gamma,Vendor C,2077,18,Employee 198,Operations,Manager,98582
199,2024-11-13,Logistics,Equipment,Project Alpha,Vendor A,5921,5,Employee 199,Finance,Technician,31781
200,2022-10-15,Exploration,Research,Project Alpha,Vendor A,3573,18,Employee 200,Operations,Administrator,119786
201,2022-01-03,HR,Salaries,Project Beta,Vendor A,6989,9,Employee 201,Exploration,Manager,85863
202,2021-08-15,Finance,Utilities,Project Beta,Vendor C,662,15,Employee 202,Operations,Technician,118536
203,2022-10-29,HR,Utilities,Project Gamma,Vendor C,5067,8,Employee 203,Operations,Technician,117188
204,2021-02-15,Logistics,Utilities,Project Gamma,Vendor A,1658,13,Employee 204,Operations,Technician,56850
205,2021-09-26,Operations,Research,Project Beta,Vendor B,9089,18,Employee 205,Exploration,Manager,109154
206,2021-09-27,Logistics,Salaries,Project Beta,Vendor C,2586,16,Employee 206,HR,Manager,88786
207,2021-10-28,Exploration,Utilities,Project Gamma,Vendor B,4059,19,Employee 207,Exploration,Manager,43174
208,2022-11-11,Finance,Research,Project Gamma,Vendor C,1007,17,Employee 208,Logistics,Administrator,100272
209,2024-06-09,Exploration,Equipment,Project Gamma,Vendor C,9668,9,Employee 209,Operations,Engineer,95165
210,2023-11-11,HR,Utilities,Project Alpha,Vendor B,5533,11,Employee 210,Logistics,Manager,88994
211,2024-08-23,Logistics,Salaries,Project Beta,Vendor A,4877,8,Employee 211,HR,Manager,111089
212,2021-09-19,HR,Equipment,Project Gamma,Vendor C,2953,19,Employee 212,HR,Administrator,35824
213,2021-05-17,Finance,Utilities,Project Gamma,Vendor B,8306,20,Employee 213,Finance,Technician,39095
214,2021-07-19,Exploration,Maintenance,Project Alpha,Vendor B,3901,16,Employee 214,Exploration,Manager,64032
215,2022-05-16,Exploration,Maintenance,Project Gamma,Vendor C,3844,4,Employee 215,Exploration,Engineer,65761
216,2023-09-13,Finance,Equipment,Project Alpha,Vendor B,3457,20,Employee 216,Exploration,Manager,119743
217,2023-12-25,Logistics,Research,Project Alpha,Vendor B,6466,14,Employee 217,HR,Technician,69346
218,2021-10-21,Operations,Equipment,Project Alpha,Vendor A,4808,3,Employee 218,Operations,Engineer,119071
219,2024-11-27,Finance,Research,Project Alpha,Vendor A,6563,10,Employee 219,Exploration,Manager,91318
220,2021-07-27,Operations,Maintenance,Project Gamma,Vendor B,5876,6,Employee 220,Finance,Engineer,63320
221,2021-05-27,Logistics,Utilities,Project Alpha,Vendor C,8754,17,Employee 221,HR,Administrator,115741
222,2021-10-26,Finance,Research,Project Beta,Vendor A,6587,4,Employee 222,Logistics,Administrator,76486
223,2022-08-22,HR,Utilities,Project Alpha,Vendor B,1220,8,Employee 223,Logistics,Technician,69002
224,2023-04-27,Logistics,Equipment,Project Beta,Vendor C,4446,1,Employee 224,Operations,Engineer,94141
225,2023-07-23,HR,Maintenance,Project Gamma,Vendor A,1735,2,Employee 225,Logistics,Manager,113718
226,2024-12-11,Operations,Equipment,Project Alpha,Vendor A,4536,18,Employee 226,HR,Manager,88993
227,2021-10-09,HR,Utilities,Project Beta,Vendor B,7997,9,Employee 227,Operations,Engineer,45934
228,2021-12-27,Logistics,Maintenance,Project Beta,Vendor C,6122,9,Employee 228,HR,Manager,66400
229,2023-01-18,HR,Maintenance,Project Beta,Vendor A,7861,8,Employee 229,Operations,Manager,69259
230,2022-02-02,Logistics,Salaries,Project Gamma,Vendor C,1568,3,Employee 230,Finance,Technician,97244
231,2021-05-29,Operations,Research,Project Gamma,Vendor A,2183,14,Employee 231,Logistics,Administrator,83977
232,2024-12-04,Finance,Salaries,Project Beta,Vendor B,678,12,Employee 232,Logistics,Technician,101642
233,2024-01-05,Operations,Utilities,Project Beta,Vendor B,4732,1,Employee 233,Exploration,Engineer,100631
234,2024-08-09,Finance,Salaries,Project Gamma,Vendor B,3994,19,Employee 234,Finance,Technician,116867
235,2023-12-29,Finance,Salaries,Project Gamma,Vendor C,1272,6,Employee 235,HR,Manager,117697
236,2021-01-22,Operations,Maintenance,Project Gamma,Vendor A,471,18,Employee 236,Operations,Manager,54114
237,2021-03-04,Exploration,Utilities,Project Alpha,Vendor A,1806,8,Employee 237,Finance,Technician,47061
238,2021-06-01,Operations,Equipment,Project Alpha,Vendor A,7647,8,Employee 238,Exploration,Engineer,85762
239,2023-06-17,Finance,Utilities,Project Gamma,Vendor A,7077,5,Employee 239,Logistics,Administrator,38259
240,2021-01-15,Operations,Research,Project Alpha,Vendor B,4531,20,Employee 240,HR,Administrator,117903
241,2021-02-23,Logistics,Utilities,Project Gamma,Vendor C,7246,9,Employee 241,HR,Engineer,116685
242,2024-08-11,HR,Equipment,Project Beta,Vendor C,1876,9,Employee 242,Logistics,Technician,63977
243,2022-01-14,HR,Maintenance,Project Beta,Vendor C,4064,13,Employee 243,Exploration,Administrator,41363
244,2023-06-20,Finance,Utilities,Project Alpha,Vendor B,2469,6,Employee 244,Finance,Administrator,30652
245,2021-01-14,Finance,Salaries,Project Beta,Vendor B,6570,19,Employee 245,HR,Manager,86401
246,2024-08-29,Operations,Maintenance,Project Gamma,Vendor C,8564,7,Employee 246,Operations,Manager,64646
247,2022-07-07,HR,Salaries,Project Beta,Vendor B,4275,15,Employee 247,Logistics,Administrator,60649
248,2024-03-09,Exploration,Equipment,Project Alpha,Vendor A,8393,9,Employee 248,Exploration,Engineer,50278
249,2024-07-14,Finance,Equipment,Project Beta,Vendor A,3742,13,Employee 249,Finance,Manager,52395
250,2022-03-10,Logistics,Salaries,Project Beta,Vendor B,4458,10,Employee 250,Operations,Engineer,80521
251,2023-12-04,Finance,Research,Project Gamma,Vendor A,6731,18,Employee 251,Exploration,Technician,31452
252,2022-01-28,HR,Utilities,Project Beta,Vendor A,8856,5,Employee 252,Finance,Technician,62235
253,2021-06-06,Operations,Research,Project Gamma,Vendor C,4579,17,Employee 253,Finance,Manager,82735
254,2022-11-26,Exploration,Research,Project Beta,Vendor C,8022,9,Employee 254,Exploration,Manager,62762
255,2022-05-31,Logistics,Research,Project Alpha,Vendor B,5330,16,Employee 255,HR,Engineer,83505
256,2024-03-26,HR,Salaries,Project Alpha,Vendor A,3965,14,Employee 256,Operations,Technician,51573
257,2022-08-29,HR,Maintenance,Project Alpha,Vendor A,2285,8,Employee 257,Logistics,Manager,51206
258,2023-09-21,Logistics,Maintenance,Project Beta,Vendor C,7979,17,Employee 258,Operations,Technician,73195
259,2021-01-15,Logistics,Research,Project Beta,Vendor B,3175,11,Employee 259,Exploration,Administrator,34763
260,2021-04-27,Logistics,Maintenance,Project Gamma,Vendor A,7784,8,Employee 260,Operations,Engineer,103324
